"bag_facility_source_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id"
"Jhilmil_DEL_PL","MotherHub_YKB","B5",2871,192
"Chhatarpur_DEL_PL","MotherHub_YKB","B5",2900,111
"Pitampurahub_DEL_PL","MotherHub_YKB","ZO",5445,278
"MundkaHub_DEL_PL","MotherHub_YKB","B5",1762,234
"Britania_DEL_PL","MotherHub_YKB","B5",2511,130
"Rohinihub_DEL_PL","MotherHub_YKB","ZO",6996,243
"PaharganjHub_DEL_PL","MotherHub_YKB","B5",3441,273
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","ZO",5265,154
"PrahladPur_DEL_PL","MotherHub_YKB","B5",3794,161
"NehruPlaceHub_DEL_PL","MotherHub_YKB","B5",2223,99
"NarelaHub_DEL_PL","MotherHub_YKB","B5",335,39
"BawanaHub_DEL_PL","MotherHub_YKB","ZO",446,42
"MundkaHub_DEL_PL","MotherHub_YKB","ZO",2587,201
"Chhatarpur_DEL_PL","MotherHub_YKB","ZO",3552,125
"ChanakyapuriHub_DEL_PL","MotherHub_YKB","ZO",3958,115
"PaharganjHub_DEL_PL","MotherHub_YKB","ZO",4369,298
"RanibaghHub_DEL_PL","MotherHub_YKB","ZO",765,77
"IPextension_DEL_PL","MotherHub_YKB","ZO",3317,165
"AshokviharHub_DEL_PL","MotherHub_YKB","B5",173,45
"NehruPlaceHub_DEL_PL","MotherHub_YKB","ZO",2660,116
"Peeragarhi_DEL_PL","MotherHub_YKB","ZO",1047,99
"BijwasanHub_DEL_PL","MotherHub_YKB","ZO",1758,60
"SangamviharHub_DEL_PL","MotherHub_YKB","ZO",1925,113
"HapurHub_HPU_PL","MotherHub_YKB","ZO",277,18
"Peeragarhi_DEL_PL","MotherHub_YKB","B5",2374,142
"BudhViharHub_DEL_PL","MotherHub_YKB","ZO",4690,174
"Britania_DEL_PL","MotherHub_YKB","ZO",3501,159
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","ZO",5261,178
"MayurVihar_DEL_PL","MotherHub_YKB","B5",1456,65
"MangolpuriHub_DEL_PL","MotherHub_YKB","ZO",614,47
"Motibaghhub_DEL_PL","MotherHub_YKB","B5",1448,91
"PrahladPur_DEL_PL","MotherHub_YKB","ZO",3722,167
"SahibabadHub_DEL_PL","MotherHub_YKB","B5",269,56
"KarolbaghHub_DEL_PL","MotherHub_YKB","B5",272,39
"WelcomeHub_DEL_PL","MotherHub_YKB","ZO",3454,138
"Jhilmil_DEL_PL","MotherHub_YKB","ZO",5518,241
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","B5",3738,148
"NarelaHub_DEL_PL","MotherHub_YKB","ZO",428,50
"ELASTICRUNHANSIODH_HNS_PL","MotherHub_YKB","ZO",446,10
"ChanakyapuriHub_DEL_PL","MotherHub_YKB","B5",1416,75
"ShahdaraHub_DEL_PL","MotherHub_YKB","B5",2999,79
"BareillyHub_BRY_PL","MotherHub_YKB","B5",178,15
"KanjhawalaHub_DEL_PL","MotherHub_YKB","ZO",1193,105
"BudhViharHub_DEL_PL","MotherHub_YKB","B5",3743,182
"VasundharaHub_DEL_PL","MotherHub_YKB","B5",2714,149
"SahibabadHub_DEL_PL","MotherHub_YKB","ZO",449,66
"Rohinihub_DEL_PL","MotherHub_YKB","B5",3889,196
"KashipurHub_KAS_PL","MotherHub_YKB","B5",34,3
"NajafgarhHub_DEL_PL","MotherHub_YKB","ZO",928,96
"NoidaHub_DEL_PL","MotherHub_YKB","B5",2613,106
"UttamNagarHub_DEL_PL","MotherHub_YKB","ZO",1524,143
"Pitampurahub_DEL_PL","MotherHub_YKB","B5",3134,215
"BawanaHub_DEL_PL","MotherHub_YKB","B5",382,66
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","B5",5206,157
"Motibaghhub_DEL_PL","MotherHub_YKB","ZO",2342,106
"KurukshetraHub_KUR_PL","MotherHub_YKB","ZO",128,6
"NoidaHub_DEL_PL","MotherHub_YKB","ZO",2813,104
"ModelTownHub_DEL_PL","MotherHub_YKB","B5",1867,87
"IPextension_DEL_PL","MotherHub_YKB","B5",2786,148
"VasundharaHub_DEL_PL","MotherHub_YKB","ZO",3057,174
"RohtakHub_ROH_PL","MotherHub_YKB","ZO",202,26
"GurgaonMilestoneHub_DEL_PL","MotherHub_YKB","ZO",30,11
"AdarshNagarHub_DEL_PL","MotherHub_YKB","B5",1741,87
"ShahdaraHub_DEL_PL","MotherHub_YKB","ZO",1731,81
"AdarshNagarHub_DEL_PL","MotherHub_YKB","ZO",2149,106
"KanjhawalaHub_DEL_PL","MotherHub_YKB","B5",1823,99
"BadshahpurHub_DEL_PL","MotherHub_YKB","B5",114,36
"RajnagarMP_DEL_PL","MotherHub_YKB","B5",448,88
"DasnaHub_DEL_PL","MotherHub_YKB","B5",1106,41
"DasnaHub_DEL_PL","MotherHub_YKB","ZO",1104,48
"WelcomeHub_DEL_PL","MotherHub_YKB","B5",2376,105
"MuzaffarnagarHub_MFN_PL","MotherHub_YKB","B5",40,1
"ModelTownHub_DEL_PL","MotherHub_YKB","ZO",2679,103
"Alipur_DEL_PL","MotherHub_YKB","B5",114,46
"MayurVihar_DEL_PL","MotherHub_YKB","ZO",1724,75
"SangamviharHub_DEL_PL","MotherHub_YKB","B5",1376,110
"BijwasanHub_DEL_PL","MotherHub_YKB","B5",550,61
"MoradabadHub_MRD_PL","MotherHub_YKB","B5",93,17
"GandhinagarHub_DEL_PL","MotherHub_YKB","ZO",2576,84
"AlwarHub_ALW_PL","MotherHub_YKB","B5",39,12
"BurariHub_DEL_PL","MotherHub_YKB","ZO",1803,76
"GandhinagarHub_DEL_PL","MotherHub_YKB","B5",1733,63
"BurariHub_DEL_PL","MotherHub_YKB","B5",194,43
"BahadurgarhHub_BHD_PL","MotherHub_YKB","ZO",460,31
"AshokviharHub_DEL_PL","MotherHub_YKB","ZO",84,31
"FatehabadHub_FHB_PL","MotherHub_YKB","ZO",863,21
"MangolpuriHub_DEL_PL","MotherHub_YKB","B5",221,32
"KarnalHub_KAL_PL","MotherHub_YKB","ZO",270,18
"NajafgarhHub_DEL_PL","MotherHub_YKB","B5",342,107
"FaridabadHub_DEL_PL","MotherHub_YKB","ZO",1706,61
"HaridwarHub_HRD_PL","MotherHub_YKB","ZO",561,14
"BareillyHub_BRY_PL","MotherHub_YKB","ZO",244,22
"JhansiHub_JHS_PL","MotherHub_YKB","B5",160,2
"RoorkeeHub_HRD_PL","MotherHub_YKB","ZO",48,3
"DhampurHub_DHM_PL","MotherHub_YKB","B5",53,2
"BharatpurHub_BTP_PL","MotherHub_YKB","B5",127,3
"GwaliorHub_GWL_PL","MotherHub_YKB","B5",90,7
"RudrapurHub_RDP_PL","MotherHub_YKB","B5",60,2
"HapurHub_HPU_PL","MotherHub_YKB","B5",274,16
"SikandraNH2Hub_AGR_PL","MotherHub_YKB","ZO",46,33
"DehradunHub_DED_PL","MotherHub_YKB","ZO",295,11
"KarnalHub_KAL_PL","MotherHub_YKB","B5",237,17
"Ramaroadhub_DEL_PL","MotherHub_YKB","ZO",265,47
"GurgaonHub_DEL_PL","MotherHub_YKB","ZO",54,24
"UttamNagarHub_DEL_PL","MotherHub_YKB","B5",497,132
"GurgaonMilestoneHub_DEL_PL","MotherHub_YKB","B5",52,26
"FatehabadHub_FHB_PL","MotherHub_YKB","B5",589,17
"BallabhgarhHub_Del_PL","MotherHub_YKB","ZO",38,21
"KurukshetraHub_KUR_PL","MotherHub_YKB","B5",112,6
"MathuraHub_MTH_PL","MotherHub_YKB","ZO",70,10
"BahadurgarhHub_BHD_PL","MotherHub_YKB","B5",264,30
"AmrohaHub_AOA_PL","MotherHub_YKB","B5",72,6
"MathuraHub_MTH_PL","MotherHub_YKB","B5",118,14
"GurgaonHub_DEL_PL","MotherHub_YKB","B5",101,40
"RanibaghHub_DEL_PL","MotherHub_YKB","B5",74,55
"KarolbaghHub_DEL_PL","MotherHub_YKB","ZO",291,36
"PilibhitHub_PII_PL","MotherHub_YKB","ZO",65,2
"FaridabadHub_DEL_PL","MotherHub_YKB","B5",102,51
"VrindavanHub_MTH_PL","MotherHub_YKB","B5",40,1
"SelaquiHub_DED_PL","MotherHub_YKB","ZO",45,3
"RewariHub_RWR_PL","MotherHub_YKB","B5",86,4
"RudrapurHub_RDP_PL","MotherHub_YKB","ZO",70,3
"DehradunHub_DED_PL","MotherHub_YKB","B5",170,8
"DholpurHub_DLP_PL","MotherHub_YKB","ZO",17,1
"PanipatHub_PPT_PL","MotherHub_YKB","B5",62,23
"RohtakHub_ROH_PL","MotherHub_YKB","B5",161,17
"HaridwarHub_HRD_PL","MotherHub_YKB","B5",258,13
"BudhViharHub_DEL_PL","MotherHub_YKB","ZO35CCPBW",34,1
"BilaspurHub_DRH_PL","MotherHub_YKB","B5",100,34
"RATIAODH_RTA_PL","MotherHub_YKB","ZO",71,2
"BallabhgarhHub_Del_PL","MotherHub_YKB","B5",74,34
"BharatpurHub_BTP_PL","MotherHub_YKB","ZO",213,5
"Ramaroadhub_DEL_PL","MotherHub_YKB","B5",210,56
"ModinagarHub_MEE_PL","MotherHub_YKB","ZO",12,3
"HissarHub_HSS_PL","MotherHub_YKB","ZO",11,11
"MoradabadHub_MRD_PL","MotherHub_YKB","ZO",54,16
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","B5",39,15
"DholpurHub_DLP_PL","MotherHub_YKB","B5",11,1
"BadshahpurHub_DEL_PL","MotherHub_YKB","ZO",37,26
"RewariHub_RWR_PL","MotherHub_YKB","ZO",29,3
"RajnagarMP_DEL_PL","MotherHub_YKB","ZO",108,37
"TohanaHub_THN_PL","MotherHub_YKB","ZO",100,1
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","ZO",112,28
"AgraHub_AGR_PL","MotherHub_YKB","ZO",88,47
"JhansiHub_JHS_PL","MotherHub_YKB","ZO",211,3
"SonepatHub_SOP_PL","MotherHub_YKB","B5",9,5
"PanipatHub_PPT_PL","MotherHub_YKB","ZO",74,34
"AmrohaHub_AOA_PL","MotherHub_YKB","ZO",18,5
"AlwarHub_ALW_PL","MotherHub_YKB","ZO",166,18
"YamunaNagarHub_YNR_PL","MotherHub_YKB","B5",21,6
"PilibhitHub_PII_PL","MotherHub_YKB","B5",44,2
"SonepatHub_SOP_PL","MotherHub_YKB","ZO",15,13
"KashipurHub_KAS_PL","MotherHub_YKB","ZO",68,6
"DhampurHub_DHM_PL","MotherHub_YKB","ZO",30,1
"Alipur_DEL_PL","MotherHub_YKB","ZO",52,24
"MeerutHub_PL","MotherHub_YKB","ZO",14,10
"JasolaHub_DEL_PL","MotherHub_YKB","ZO",41,31
"RATIAODH_RTA_PL","MotherHub_YKB","B5",49,2
"HaldwaniHub_HWI_PL","MotherHub_YKB","ZO",49,2
"MuzaffarnagarHub_MFN_PL","MotherHub_YKB","ZO",47,2
"SelaquiHub_DED_PL","MotherHub_YKB","B5",25,2
"IDENTIFYPLUSELLENABADODH_ELB_PL","MotherHub_YKB","ZO",1,1
"ModinagarHub_MEE_PL","MotherHub_YKB","B5",8,3
"VrindavanHub_MTH_PL","MotherHub_YKB","ZO",5,1
"RoorkeeHub_HRD_PL","MotherHub_YKB","B5",14,4
"BulandshahrHub_BUR_PL","MotherHub_YKB","ZO",8,3
"HaldwaniHub_HWI_PL","MotherHub_YKB","B5",21,1
"BhiwaniHub_DEL_PL","MotherHub_YKB","ZO",1,1
"GwaliorHub_GWL_PL","MotherHub_YKB","ZO",9,5
"YamunaViharHub_DEL_PL","MotherHub_YKB","ZO",9,6
"JasolaHub_DEL_PL","MotherHub_YKB","B5",93,24
"JhajjarHub_JJJ_PL","MotherHub_YKB","B5",19,1
"MeerutHub_PL","MotherHub_YKB","B5",7,7
"YamunaNagarHub_YNR_PL","MotherHub_YKB","ZO",44,6
"CanttHissarHub_HSS_PL","MotherHub_YKB","B5",4,4
"JindHub_JND_PL","MotherHub_YKB","B5",7,1
"JhajjarHub_JJJ_PL","MotherHub_YKB","ZO",5,3
"BilaspurHub_DRH_PL","MotherHub_YKB","ZO",25,15
"AligarhHub_ALG_PL","MotherHub_YKB","ZO",7,6
"LadwaHub_LAD_PL","MotherHub_YKB","B5",1,1
"BhiwadiHub_DHR_PL","MotherHub_YKB","B5",3,2
"SaharanpurHub_SHP_PL","MotherHub_YKB","ZO",5,4
"CanttHissarHub_HSS_PL","MotherHub_YKB","ZO",2,2
"SirsaHub_SRS_PL","MotherHub_YKB","B5",1,1
"HathrasHub_HTH_PL","MotherHub_YKB","B5",1,1
"JindHub_JND_PL","MotherHub_YKB","ZO",2,2
"KaithalHub_KTL_PL","MotherHub_YKB","ZO",1,1
"ELASTICRUNHANSIODH_HNS_PL","MotherHub_YKB","B5",5,5
"AligarhHub_ALG_PL","MotherHub_YKB","B5",2,2
"HissarHub_HSS_PL","MotherHub_YKB","B5",2,2
"HathrasHub_HTH_PL","MotherHub_YKB","ZO",2,2
"SaharanpurHub_SHP_PL","MotherHub_YKB","B5",3,2
"SirsaHub_SRS_PL","MotherHub_YKB","ZO",1,1
"Firozabad_FZD_PL","MotherHub_YKB","ZO",2,2
"BhiwaniHub_DEL_PL","MotherHub_YKB","B5",1,1
"BulandshahrHub_BUR_PL","MotherHub_YKB","B5",1,1
"TohanaHub_THN_PL","MotherHub_YKB","B5",2,1