,fact_updated_at
1,28.765227206944445
2,20.2407827625
4,37.07411609583333
5,23.175227206944445
8,32.665227206944444
9,25.989949429166668
12,31.846338318055555
16,48.36606054027778
17,47.4582827625
20,22.185504984722222
24,28.592727206944446
26,21.74189387361111
28,36.649116095833335
30,31.321338318055556
34,24.203560540277778
35,21.084671651388888
41,27.388004984722222
42,56.982449429166664
43,22.321616095833335
45,22.717727206944446
48,50.378560540277775
52,52.99772720694445
54,21.909393873611112
55,31.846338318055555
60,20.640227206944445
61,26.56217165138889
64,26.130227206944443
65,25.70606054027778
66,28.029671651388888
68,23.666060540277776
74,44.302727206944446
77,21.28050498472222
82,20.756338318055555
84,52.51300498472222
86,23.173838318055555
89,55.69633831805555
90,26.715227206944444
91,29.01967165138889
92,43.87744942916667
99,25.457727206944444
100,21.038838318055557
101,31.607449429166667
105,25.456338318055554
107,21.74189387361111
113,21.078838318055556
116,51.043838318055556
123,21.47606054027778
127,23.175227206944445
128,52.60439387361111
130,45.69689387361111
131,32.0557827625
132,32.65772720694444
134,20.318004984722222
136,27.96800498472222
147,52.60439387361111
152,32.64411609583333
157,21.559116095833332
159,45.83217165138889
164,21.60800498472222
165,22.18467165138889
166,25.487727206944445
169,47.4582827625
174,55.69633831805555
186,20.554116095833333
188,30.401338318055554
190,20.756338318055555
192,28.947449429166667
193,46.17439387361111
194,25.451060540277776
197,21.167449429166666
199,56.956060540277775
200,21.0082827625
206,50.45717165138889
208,27.415227206944444
211,45.588560540277776
218,20.448838318055557
220,52.60439387361111
222,20.455227206944443
223,20.41967165138889
224,22.023560540277778
225,26.173004984722223
227,23.1207827625
228,20.409949429166666
229,50.88189387361111
233,47.4582827625
237,26.173004984722223
239,20.67856054027778
241,25.467171651388888
244,47.845504984722226
245,54.39467165138889
246,21.100227206944446
248,45.5832827625
250,45.82383831805556
252,20.84300498472222
261,45.513838318055555
262,16.78717165138889
263,45.82883831805555
267,47.312727206944444
268,25.4782827625
270,46.36689387361111
271,20.70467165138889
272,31.182449429166667
275,20.552727206944443
278,34.35522720694444
279,45.54411609583333
280,20.275227206944443
286,45.51439387361111
292,47.6257827625
296,43.39383831805556
298,46.13467165138889
302,43.37633831805555
303,48.030227206944446
307,20.41967165138889
308,27.10967165138889
317,52.60439387361111
318,21.543004984722224
319,32.54272720694444
321,21.051060540277778
325,56.982449429166664
326,21.11717165138889
328,20.300227206944445
329,21.4707827625
333,31.0882827625
334,50.15772720694444
338,21.10217165138889
339,21.94217165138889
340,52.515227206944445
343,45.51439387361111
347,25.44967165138889
349,23.74856054027778
351,50.45717165138889
354,25.459116095833334
363,28.369671651388888
367,23.507171651388887
369,56.982449429166664
372,23.19050498472222
373,26.907449429166668
378,32.17189387361111
381,45.661338318055556
387,72.19133831805556
388,31.182449429166667
392,26.394949429166665
393,20.983838318055554
394,71.1407827625
400,25.473838318055556
404,25.74050498472222
405,20.746060540277778
407,45.51439387361111
409,23.84939387361111
410,27.35717165138889
411,43.5807827625
414,22.000504984722223
419,45.562727206944444
425,49.561338318055554
428,46.20994942916667
429,45.84383831805555
432,23.84939387361111
434,16.875227206944444
435,26.943838318055555
439,47.34356054027778
443,22.14356054027778
446,22.64439387361111
450,23.175227206944445
455,22.186893873611112
464,47.44022720694444
470,23.666060540277776
476,24.209116095833334
478,43.8432827625
481,21.813838318055556
483,33.79133831805556
487,51.7257827625
488,25.454949429166668
489,25.722171651388887
490,27.93967165138889
491,19.151338318055554
494,22.1732827625
499,45.51439387361111
503,25.46467165138889
505,25.476616095833332
513,45.647727206944445
517,46.84439387361111
522,45.52522720694444
525,36.17522720694444
526,45.8082827625
527,20.621616095833332
528,25.492727206944444
529,45.83939387361111
533,31.0882827625
534,45.53050498472222
535,44.7382827625
538,20.815227206944446
540,51.64467165138889
541,23.175227206944445
544,68.7657827625
548,23.176060540277778
551,22.325504984722222
553,22.978838318055555
556,45.51439387361111
557,32.75661609583333
558,32.510504984722225
561,25.451893873611112
567,56.982449429166664
572,29.01967165138889
576,21.74189387361111
578,32.18717165138889
579,21.739949429166668
580,33.031616095833336
582,23.175227206944445
583,45.92856054027778
585,35.04856054027778
586,57.336616095833335
589,54.9682827625
590,48.36356054027778
593,20.85967165138889
602,45.544949429166664
604,26.173004984722223
609,23.84939387361111
613,45.31217165138889
614,56.95022720694445
618,26.891616095833335
620,49.33633831805555
623,46.878560540277775
627,25.462449429166668
628,49.8432827625
631,21.00189387361111
632,49.71606054027778
634,46.13633831805556
639,20.756338318055555
641,47.8707827625
643,20.4107827625
651,56.17661609583333
655,21.909393873611112
658,56.3257827625
663,21.00189387361111
664,31.0882827625
667,23.87217165138889
668,49.39439387361111
677,22.395227206944444
685,28.597171651388887
686,44.56717165138889
687,21.589116095833333
688,50.49189387361111
689,55.485227206944444
691,20.409949429166666
702,47.55772720694444
703,47.45994942916667
705,25.546616095833333
707,50.219671651388886
709,56.3257827625
714,22.009949429166667
715,47.18217165138889
719,24.319116095833333
728,45.643560540277775
729,29.00356054027778
730,36.17522720694444
731,25.450227206944444
734,23.84939387361111
736,30.65106054027778
737,29.05161609583333
739,26.4382827625
740,24.209116095833334
742,21.00300498472222
745,20.756338318055555
746,46.37550498472222
748,45.605504984722224
749,21.021616095833334
751,23.694671651388887
754,47.43106054027778
755,20.591060540277777
757,27.45550498472222
766,20.473838318055556
771,25.46800498472222
777,27.9657827625
779,56.982449429166664
780,23.84939387361111
784,23.02550498472222
792,51.38244942916667
793,20.2557827625
794,46.20106054027778
797,28.897449429166667
799,20.37050498472222
800,71.26106054027778
803,46.76133831805556
806,31.373838318055554
811,53.01217165138889
818,47.68883831805555
822,23.638004984722222
824,20.513004984722222
830,28.957727206944444
831,21.762727206944444
832,51.10939387361111
836,52.103560540277776
838,51.64467165138889
844,51.02439387361111
845,23.175227206944445
846,16.791616095833334
848,25.479393873611112
853,21.5882827625
854,25.47744942916667
855,22.06550498472222
857,25.474949429166667
860,26.093838318055557
863,23.84939387361111
864,48.107449429166664
866,31.3707827625
870,45.81994942916667
875,21.078838318055556
880,26.173004984722223
881,28.730504984722224
885,26.130227206944443
887,45.667449429166666
888,45.68856054027778
889,22.173560540277776
890,26.923560540277776
892,73.8282827625
894,27.388004984722222
898,50.88189387361111
903,47.379393873611114
906,24.291893873611112
909,47.419949429166664
916,23.84939387361111
917,20.424116095833334
919,21.066338318055557
920,25.464116095833333
927,46.2832827625
931,20.25300498472222
933,22.872449429166668
942,46.17439387361111
943,53.47217165138889
944,49.97217165138889
947,21.615227206944443
948,24.209116095833334
949,56.95022720694445
950,20.275227206944443
963,23.130504984722222
964,45.60050498472222
966,47.17189387361111
969,20.58661609583333
975,20.334116095833334
978,47.003560540277775
980,52.885504984722225
986,45.52856054027778
988,26.7657827625
991,22.149949429166668
993,25.732449429166667
995,44.57217165138889
998,69.58189387361111
999,25.49050498472222
1003,20.41967165138889
1004,50.16689387361111
1005,20.275227206944443
1008,20.584671651388888
1009,57.336616095833335
1014,20.5157827625
1015,21.076616095833334
1017,23.175227206944445
1023,23.240227206944443
1024,28.162727206944446
1027,20.69800498472222
1029,46.44550498472222
1030,25.4732827625
1031,52.63106054027778
1036,44.742727206944444
1038,34.9682827625
1039,45.51439387361111
1050,21.038838318055557
1054,23.84939387361111
1056,21.017727206944443
1068,26.708838318055555
1078,20.591060540277777
1079,16.755227206944443
1080,56.982449429166664
1086,46.175504984722224
1090,48.3982827625
1094,27.811338318055554
1096,16.81550498472222
1101,28.639671651388888
1104,44.02494942916667
1105,34.90467165138889
